exogenous variables,Metric,Value
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
End user energy consumtion(KWH),,
,MAE,13.489971300813684
,MSE,263.0436417572072
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,12.179333286414789
,MSE,179.78512219164796
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
,MAE,15.17830367845148
,MSE,279.17398922489485
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Net outflow of the Swiss transmission grid(KWH),,
,MAE,10.911666418617946
,MSE,141.6880951508412
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Net outflow of the Swiss transmission grid(KWH),,
End user energy consumtion(KWH),,
,MAE,21.24182287063607
,MSE,588.5178406978416
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
Net outflow of the Swiss transmission grid(KWH),,
,MAE,9.677555044995072
,MSE,115.85038813380548
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
Net outflow of the Swiss transmission grid(KWH),,
End user energy consumtion(KWH),,
,MAE,22.393535534006855
,MSE,651.2322375583793
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
Net outflow of the Swiss transmission grid(KWH),,
,MAE,9.677555044995072
,MSE,115.85038813380548
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,12.179333286414789
,MSE,179.78512219164796
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,12.179333286414789
,MSE,179.78512219164796
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
Net outflow of the Swiss transmission grid(KWH),,
End user energy consumtion(KWH),,
,MAE,22.393535534006855
,MSE,651.2322375583793
